cfb_season,college,ap_rank,nfl_players,pro_bowls,all_pros,player_list
2002,Maryland,12,14,9,1,Adam Podlesh|Bruce Perry|D'Qwell Jackson|Domonique Foxworth|E.J. Henderson|Jeff Dugan|Jon Condo|Josh Wilson|Leon Joe|Madieu Williams|Nick Novak|Randy Starks|Shawne Merriman|Vernon Davis
2002,Auburn,13,16,10,1,Ben Grubbs|Ben Obomanu|Carlos Rogers|Carnell Williams|Courtney Taylor|David Irons|Devin Aromashodu|Dontarrious Thomas|Jason Campbell|Jay Ratliff|Karlos Dansby|Marcus McNeill|Reggie Torbor|Ronnie Brown|Stanley McClover|Will Herring
2002,Boise State,14,6,0,0,Brock Forsey|Daryn Colledge|Derek Schouman|Gerald Alexander|Korey Hall|Legedu Naanee
2002,Penn State,15,19,9,1,Anthony Adams|Bryan Scott|Bryant Johnson|Calvin Lowry|Ethan Kilmer|Jay Alford|Jimmy Kennedy|Larry Johnson|Levi Brown|Matt Kranchick|Michael Haynes|Michael Robinson|Paul Posluszny|Rich Gardner|Robbie Gould|Sean McHugh|Tamba Hali|Tim Shaw|Tony Hunt
2002,Notre Dame,16,19,2,1,Anthony Fasano|Arnaz Battle|Brady Quinn|Courtney Watson|Dan Santucci|Derek Landri|Gerome Sapp|Glenn Earl|Jeff Faine|Jerome Collins|Jim Molinaro|Jordan Black|Julius Jones|Justin Tuck|Maurice Stovall|Mike Richardson|Ryan Harris|Sean Mahan|Victor Abiamiri
2002,Virginia Tech,17,18,3,0,Aaron Rouse|Brandon Frye|Darryl Tapp|David Clowney|DeAngelo Hall|Eric Green|Ernest Wilford|Jake Grove|James Anderson|Jeff King|Jimmy Williams|Jonathan Lewis|Justin Hamilton|Kevin Jones|Lee Suggs|Vincent Fuller|Will Montgomery|Willie Pile
2002,Pittsburgh,18,12,21,8,Andy Lee|Brandon Miree|Bryan Anderson|Clint Session|Darrelle Revis|Gerald Hayes|H.B. Blades|Kris Wilson|Larry Fitzgerald|Rob Petitti|Shawntae Spencer|Torrie Cox
2002,Colorado,19,10,0,0,Chris Brown|D.J. Hackett|Donald Strickland|Joe Klopfenstein|Lawrence Vickers|Mason Crosby|Quinn Sypniewski|Sean Tufts|Tyler Brayton|Wayne Lucier
2002,Florida State,20,31,13,2,A.J. Nicholson|Alex Barron|Alonzo Jackson|Anquan Boldin|Antonio Cromartie|Brett Williams|Brodrick Bunkley|Bryant McFadden|Buster Davis|Chauncey Davis|Chris Davis|Craphonso Thorpe|Darnell Dockett|Eric Moore|Ernie Sims|Greg Jones|Jerome Carter|Kamerion Wimbley|Kendyll Pope|Lawrence Timmons|Leon Washington|Lorenzo Booker|Mario Henderson|Michael Boulware|Montrae Holland|Pat Watkins|Ray Willis|Talman Gardner|Todd Williams|Travis Johnson|Willie Reid
2002,Virginia,21,16,7,0,Ahmad Brooks|Alvin Pearman|Angelo Crowell|Billy McMullen|Brad Butler|Chris Canty|D'Brickashaw Ferguson|Darryl Blackstock|Elton Brown|Heath Miller|Jason Snelling|Marcus Hamilton|Marques Hagans|Matt Schaub|Patrick Estes|Wali Lundy
